NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
AGEAS (EX-FORTIS);BE0974264930;N/A;N/A;N/A;N/A;N/A;N/A;N/A;29000;29000;29000;29000;29000;29000;29000;29000;29000;29000;29000;29000;29000;12775;9550;9730;10309;11342;16238;16238
VIOHALCO;BE0974271034;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;361000;407000;449000;399000;424000;424000
ANHEUSER-BUSCH INBEV;BE0974293251;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2700620;2700620;2962050;2911250;2720446;2464400;3453120;4127600;3367000;2995200;3708000;3345300;3430400;2442000;2985570;2845376;2650000;2490000;2490000
UMICORE;BE0974320526;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;364139;417140;389101;330451;372699;346439;317908;277717;277717
TITAN;BE0974338700;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;11200000;10400000;9900000;10500000;9900000;10383290;10516383;10516383
STOLT-NIELSEN;BMG850801025;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1916743;1720663;1671904;1578587;1645512;1646734;1646734
OC OERLIKON CORPORATION;CH0000816824;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;14900;13700;19500;19000;18900;18300;18300
SWISS PRIME SITE;CH0008038389;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;12800;13300;13400;23269;21994;8449;13230;10916;9478;8479;8237;8237
SWISSCOM 'R';CH0008742519;N/A;N/A;N/A;N/A;30286;30286;24510;24510;25736;28367;26300;25422;23242;25459;25260;21380;20115;20057;18471;16289;16448;14545;14832;12861;12467;10928;10928
CHOCOLADEFABRIKEN LINDT & SPRUENGLI;CH0010570759;N/A;N/A;N/A;N/A;N/A;N/A;N/A;24542;24542;24542;24542;24542;24542;24542;24542;24542;24542;24542;24542;24542;24542;56160;55483;58406;74788;71260;71260
GIVAUDAN 'N';CH0010645932;N/A;N/A;N/A;74000;91000;86400;94002;81258;106300;108200;102465;115880;104482;102547;103703;98001,2;139374;100662;108103;108797;103147;137632;151504;162172;135752;132065;132065
