NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
BEKAERT (D);BE0974258874;2005756;1715507;1639190;1546484;2000453;2235702;2832428;2313883;2607379;3221913;3409247;3400588;4505126;4399425;4739718;4306330;3647633;4001655;4015023;5097231;4937349;4779578;4537605;5467203;6183457;4675224;4082234
AGEAS (EX-FORTIS);BE0974264930;39997907;38728922;47194796;41577642;53685989;61571197;78215400;107287053;123343997;176286359;15221633;21112340;18357600;18190538;19509324;18370953;15654116;14279412;13882953;15103834;12857291;15526483;14088999;14683412;10341155;8347125;9108617
VIOHALCO;BE0974271034;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4542684;3900037;3338814;3569619;3363835;4628413;5053081;4642181;4631071;6071409;7642887;6807716;6835646
ANHEUSER-BUSCH INBEV;BE0974293251;3082814;3153375;5279457;6288722;7505993;8763715;11167223;14089330;17266732;21389514;20619057;36767886;37970362;36798410;42188627;43904172;40430046;43093963;44567186;61628160;53161419;51767263;49153108;51996393;60047588;59294178;57142983
UMICORE;BE0974320526;3916023;3091525;3579065;3023374;3405179;5818838;9273800;7937373;11437199;12317735;11740694;9679014;13380480;19074437;17185931;13273662;10014315;10570943;11286300;14859515;15730565;19334245;24911192;27173507;27828258;19731807;15320631
TITAN;BE0974338700;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1314007;1523689;1630937;1872856;1708866;1780023;1933022;1936953;2496896;2751380;2727160
STOLT-NIELSEN;BMG850801025;1844201;1635578;2285081;2573121;3267628;3348942;2053738;1580703;1630210;1906517;1734131;1649502;1865313;1907598;2201783;2141283;1817683;1942414;1836390;2203739;2061144;2011660;2064873;2076005;2865435;2823332;2749119
OC OERLIKON CORPORATION;CH0000816824;2576467;1744695;1995003;1237926;1089728;1276777;1551919;1247900;1838328;5201255;4079535;2723103;3840221;4572494;3218453;3193621;3477624;2617460;2356288;3054735;2624636;2684487;2512299;2881717;3197832;3111089;2601653
SWISS PRIME SITE;CH0008038389;N/A;N/A;26290;48128;72520;87555;109954;150700;155691;189332;180047;277839;634304;709476;656405;859524;919838;991544;1066706;1231626;1231188;1315033;899422;839833;897830;770538;734747
SWISSCOM 'R';CH0008742519;7422864;6734969;8558775;8249350;10623751;11563158;8436566;7566708;7745694;10246351;10476247;11359042;12784384;12537730;12608006;12665924;12658985;11443915;11769311;12512934;11784204;11857087;12350098;12165436;12215302;12790931;12104488
CHOCOLADEFABRIKEN LINDT & SPRUENGLI;CH0010570759;953669;869089;933370;925855;1229052;1427849;1691675;1746983;2074719;2722319;2522699;2389743;2750648;2720973;2956524;3193067;3661944;3580070;3943220;4386716;4339050;4668087;4469178;4988340;5463687;6008688;5997951
GIVAUDAN 'N';CH0010645932;1495784;1346390;1430815;1396232;1955659;2153074;2248185;2159917;2334220;3818011;3510118;3747225;4520604;4280563;4714712;4839726;4763750;4307883;4713587;5419553;5560124;6421855;7033993;7271195;7823641;7988556;8129618
ZURICH INSURANCE GROUP;CH0011075394;40674437;36434242;38495920;38548547;47930276;55364003;62090056;64943235;65366356;52789062;29967478;59155791;63732327;54349476;62158564;73727933;72294918;57180971;67288000;67372911;46389446;74119349;61197191;69727297;44069661;69563841;71420217
NOVARTIS 'R';CH0012005267;22494946;19592362;21744620;18646301;23704874;26324155;29280304;31150581;36230178;42180938;38494099;45394288;56177838;56381529;58547938;60212783;52976540;47581363;49356659;52742589;52249673;49996244;51821224;52621390;54202676;48352409;50054831
ROCHE HOLDING;CH0012032048;17499538;16636459;17412701;16973034;21739707;24758371;26234137;27610088;33734250;42627372;39178141;46427161;50626717;46502327;50391046;51820180;51339036;47179937;51124684;57188036;57186688;63634653;64891420;68318121;69564120;67831677;66352028
CREDIT SUISSE GROUP DEAD - DELIST.14/06/23;CH0012138530;51665574;45504490;62292067;64471690;61424089;64104513;61863673;69490559;65926263;86477211;44185234;49284669;52903549;45912997;41115567;41037418;38953718;32895132;30245604;33446508;33549872;36668659;34061793;28809554;23815001;44202187;41966465
ADECCO GROUP;CH0012138605;10862174;11147097;16171366;15857911;18346923;19640269;22326324;22025897;25824152;32072524;27088723;21122782;27187197;27589082;27382899;26547359;26231995;22936921;25048707;28353799;27636755;26924357;23306402;24596130;26073474;26857389;24157239
CLARIANT;CH0012142631;6765797;5585920;6427128;5744979;6453530;6180076;7155603;6360793;6499546;7884581;6931775;6260204;7592994;8058173;6687205;6730642;6615599;5690599;5910432;6842307;6662693;4554206;4294719;4756084;5714105;5056531;4553990
HOLCIM;CH0012214059;7995491;7358979;8509583;7940887;9515007;9992168;11085733;14359019;19233040;24996330;21606079;20001606;23091448;22680968;23860408;21843569;20671042;23111261;27195873;28035539;27630608;27664810;25748285;29191389;32087152;31202156;28963683
ABB LTD N;CH0012221716;30549438;24189422;23566846;23336651;20873191;19972678;21554087;21636556;24384952;32168369;32234467;32539677;34873988;36510650;40461746;42824757;39945972;33608076;34018777;35944072;27247154;28757300;27078973;28809059;30908159;33235286;32018562
THE SWATCH GROUP;CH0012255151;2259996;2123084;2508784;2355959;2876443;3049197;3339561;3337065;3867631;5216963;4875689;4866944;6513765;7395588;8634225;9367068;9420413;8281600;7634940;8540812;8525792;8533831;6225117;7955453;8243570;9112614;7387072
BALOISE HOLDING DEAD - DELIST.08/12/25;CH0012410517;6593300;5420865;5967032;5277978;6309232;7504435;7654147;7073457;7482823;8885931;7001342;8946677;10047814;8405757;10411905;10487660;10886857;8419970;8751726;9727728;6964088;10987139;9314199;11001218;6573639;6675845;6514772
SONOVA N;CH0012549785;155113;156104;190865;315057;404492;463846;555096;571139;786331;1076355;1037934;1285727;1730404;1692738;1915213;2072154;2156600;2007021;2161872;2766900;2712375;2988016;2848533;3411609;3964806;4210656;4066015
LONZA GROUP;CH0013841017;1527715;1317423;1034243;1087187;1854732;1777971;1830425;1960098;1833514;2651910;2522441;2546106;2858037;2943365;4347015;3970148;3937341;3726769;4176827;5477493;5575214;6128870;5015697;5884185;6840877;7759816;7210484
VALIANT 'R';CH0014786500;314570;253730;272822;268046;444129;522389;518087;473355;490602;618909;628381;692111;753663;750733;689038;633691;582032;500230;484137;505670;467443;475996;503311;492792;558184;901902;930621
SWISS LIFE HOLDING;CH0014852781;17095577;15996697;15435310;13263330;15907834;17233317;19227014;16805059;16681367;17823237;16029568;16718170;18627364;18963494;20568859;21820306;19443327;19670638;19266776;19389576;19790904;24807431;25365544;22315084;23203796;16103034;11569240
PSP SWISS PROPERTY AG;CH0018294154;58636;54752;66925;92803;130945;149269;204266;187519;217760;240243;264141;281921;290287;323302;378743;403152;401428;295683;374662;345578;317195;366595;388633;421356;454669;428280;407372
EFG INTERNATIONAL N;CH0022268228;N/A;N/A;N/A;N/A;104232;202306;262959;357246;855796;1453099;1501698;1044377;1188752;1179751;1288710;1052466;1111001;973095;1066041;1705158;1534441;1680988;1631882;1778527;1930022;2830132;2982798
PARTNERS GROUP HOLDING;CH0024608827;N/A;N/A;N/A;N/A;N/A;71080;89972;119001;220035;391269;367435;396064;532536;473468;607322;521891;599751;591213;958622;1302474;1333846;1667115;1571355;2859634;2057759;2246384;2342365
SCHINDLER 'R';CH0024638212;4647574;4534034;5100770;4688639;5764588;6022264;6899747;6731665;8595449;12337387;11973222;12138964;8654094;8373065;8980878;9307250;9616199;8943070;9724364;10761853;10944200;11668665;11838292;12223092;12472535;13278447;12323851
KUEHNE UND NAGEL INTERNATIONAL;CH0025238863;3603633;3049568;3844397;3877027;5080563;5973334;7651211;8625363;11945284;15818966;15452422;13569138;17977907;17732354;18960740;19028796;18930607;16395628;16704275;19950737;20898502;21838242;22677450;35682595;43309796;27551565;27203290
LOGITECH 'R';CH0025751329;404854;389183;585220;903055;1217293;1324091;1501183;1651396;2037208;2514641;2272691;1869118;2580038;2240201;2235130;2193739;2125279;1920130;2139712;2612114;2714445;2972176;4580446;5758836;5037983;4398176;4409148
GEBERIT 'R';CH0030170408;646990;631856;645142;589863;808666;959248;1386996;1275269;1483421;1944026;1871433;1827707;2026220;2041987;2125995;2215374;2259753;2541709;2839474;3120508;3098962;3191671;3322399;3764508;3728679;3562676;3384233
SULZER 'R';CH0038388911;4169463;3330671;3483512;2154003;1423229;1448071;1733955;1942371;2248121;3268225;3189338;3171180;3395199;3911986;4454002;3615560;3474487;2911447;2907908;3271475;3385066;3860050;3692791;3432496;3495630;3791185;3872427
NESTLE 'N';CH0038863350;50909876;45056699;49448135;49294725;65208151;69769913;72788342;70811545;79003992;99379168;94394439;95198823;111562630;91452061;102097825;102087306;99095524;87005312;90439622;96342725;91987009;95833999;93841830;94738754;103799283;107435968;100198747
CHUBB;CH0044328745;1406942;3016990;5266657;6644687;7123004;10831742;12371625;13176000;13542000;14295000;14732000;15472000;16065000;16884000;17973000;19283000;19239000;19099000;31572000;32288000;32766000;34244000;35994000;40963000;43166000;49871000;56018000
TRANSOCEAN;CH0048265513;1049612;648236;1229513;2820100;2673900;2434300;2613900;2891700;3882000;6377000;12674000;11556000;9576000;9142000;9196000;9484000;9174000;7386000;4161000;2973000;3018000;3088000;3152000;2556000;2575000;2832000;3524000
JULIUS BAER GRUPPE;CH0102484968;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1565800;2270696;2022600;1782933;2213069;2244828;2257337;2733757;3104471;2980533;3221979;3969546;4130206;4254388;4517132;4642839;4971755;6753131;6889665
SWISS RE;CH0126881561;16359251;16627407;19436247;19937772;27807810;29456276;30292614;27215892;31619892;40790440;28482887;30116936;29903819;27656090;34985371;37426885;36891467;33661932;43629064;44512705;36678747;50179267;44448606;45778629;48478826;51223916;44059516
COCA-COLA HBC;CH0198251305;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;9366318;9377250;8988239;9530385;7852912;6597216;6398118;8059473;7718837;7989583;7417929;8348014;9657803;11185127;11270128
RICHEMONT N;CH0210483332;7969048;6620002;2844917;3301772;4089562;3978554;4724533;4736504;5762174;7642086;7747565;7100077;9185447;10707362;13040246;14048602;14178638;11529010;11426901;13129023;14231428;16897281;14730603;19587823;22367094;23226082;21434884
UBS GROUP;CH0244767585;28110523;25131210;49811912;49603770;49426843;51155933;59385636;80114429;106016428;130020278;58212824;42422486;49418450;44598761;22396266;40896734;39392883;37467603;37819893;41388606;42016143;42699984;39564338;40057420;43698825;74148305;84078606
FLUGHAFEN ZURICH;CH0319416936;132209;127760;317526;313494;386761;445364;534626;545989;591466;741888;734402;776326;920331;989942;1050837;1080153;1042183;969149;1023792;1112800;1159807;1252778;694247;739739;1125122;1428236;1454710
SIKA;CH0418792922;1115150;1019220;1213399;1223958;1551729;1798749;2147352;2267602;3126282;4225684;3971750;3932646;4709363;4981853;5348103;5696232;6026404;5379169;5810055;6704216;7127864;8395310;8764675;10065122;11533522;12983396;12901984
