NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
PROXIMUS;BE0003810273;N/A;N/A;N/A;N/A;N/A;N/A;167,84;130,87;200,01;230,71;170,26;192,11;211,18;188,51;202,13;203,5;285,85;270,86;236,34;286,69;238,81;264,74;204,18;202,47;118,73;113,96;76,4
ELIA GROUP;BE0003822393;N/A;N/A;N/A;N/A;N/A;N/A;N/A;133,36;144,49;158,61;133,2;160,13;173,1;172,08;219,51;220,87;215,98;249,69;263,91;319,81;401,59;543,74;698,25;791,6;842,78;693,81;404,59
COLRUYT GROUP;BE0974256852;10112,95;6041,72;5871,29;5155,54;7490,55;13862,56;23082,02;19781,89;30054,18;35171,63;31758,65;36782,55;39511,82;30068,76;39240,78;41630,15;38098,41;45432,06;41330,94;47646,45;63051,02;44570,28;56384,36;38198,73;26362,58;44964,95;37320,39
BEKAERT (D);BE0974258874;1744,82;1925,77;1786,27;1586,31;2004,27;2921,21;3746,28;4944,57;6087,22;6733,33;2866,84;8136,8;16317,55;6477,16;5230,73;5908,44;5413,98;5807,82;8335,68;8498,74;5092,75;5105,18;7014,04;9848,15;9150,06;10742,76;7688,55
AGEAS (EX-FORTIS);BE0974264930;12745,18;9166,63;10859,3;7863,35;5625,01;8153,39;10227,82;13886,32;17504,83;11437,66;1106,06;1949,84;1611,41;1237,35;1930,15;2577,99;2174,65;2611,54;2889,15;3760,95;3437,5;4192,02;4183,32;4010,31;4370,04;3980,29;5021,89
VIOHALCO;BE0974271034;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;115,21;56,72;32,21;35,34;107,42;70,89;91,6;95,98;129,36;113,82;163,12;139,25
ANHEUSER-BUSCH INBEV;BE0974293251;N/A;N/A;84,73;78,7;59,09;87,14;115,55;149,93;203,25;273,74;130,64;276,44;306,76;345,94;511,54;542,86;720,27;759,61;648,44;706,37;497,26;498,32;436,51;426,01;405,23;420,69;335,58
UMICORE;BE0974320526;63,79;58,2;69,81;77,16;79,89;129,48;194,26;319,2;434,81;575,93;222,83;413,18;704,46;669,46;737,11;603,59;611,11;517,41;870,58;1540,99;1295,54;1444,28;1829,65;1193,78;1234,29;729,95;337,78
TITAN;BE0974338700;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;104,45;89,81;85,52;88,59;147,44;264,52
STOLT-NIELSEN;BMG850801025;10,3;17,05;15,07;13,3;8,31;13,65;38,27;38,75;35,88;34,11;12,45;22,56;35;33,57;34,65;49,05;27,95;19,86;31,93;27,28;26,09;28,16;34,12;43,51;71,15;108,64;76,84
OC OERLIKON CORPORATION;CH0000816824;100,8;204,29;201,48;89,39;55,37;141,38;106,69;180,96;518,22;352,46;29,26;27,43;42,72;47,01;87,77;110,82;83,48;65,59;86,08;135,95;104,35;92,98;106,15;100,74;75,27;48,83;47,27
SWISS PRIME SITE;CH0008038389;N/A;N/A;60,38;54,31;70,25;77,77;111,99;113,03;150,67;152,99;112,98;165,96;225,01;251,1;293,83;282,19;337,1;317,91;353,68;422,06;391,58;595,27;494,91;506,88;495,8;566,48;669,16
SWISSCOM 'R';CH0008742519;134,19;102,65;83,05;91,53;103,87;120,54;139,55;116,69;149,93;165,12;135,8;172,25;223,39;209,2;249,68;317,32;353,61;309,98;286,65;376,36;343,06;417,94;426,91;474,03;511,68;527,55;521,97
CHOCOLADEFABRIKEN LINDT & SPRUENGLI;CH0010570759;876,92;831,31;988,95;911,58;971,92;1648,35;2381,83;3317,37;4450,74;5558,08;3363,5;4396,3;5607,51;6410,89;8019,37;10231,83;12100,76;13559,26;12867,5;14796,36;14496,49;19119,83;19973,61;25620,1;24252,23;28044,29;24957,05
GIVAUDAN 'N';CH0010645932;N/A;N/A;53,59;63,61;84,69;106,85;135,18;152,41;199,11;216,73;150,12;204,59;251,79;240,78;294,65;390,71;511,29;532,6;510,67;706,88;748,22;1053,03;1300,49;1392,31;1129,09;1424,32;1507,39
ZURICH INSURANCE GROUP;CH0011075394;3685,95;2370,2;2950,3;1036,8;702,88;1039,17;1180,46;1541,34;1959,79;2153,59;1366,03;1825,01;2470,3;2287,33;2925,77;3109,58;3807,83;2608,81;3766,19;4616,21;4675,89;6565,72;6843,62;8456,05;8911,95;9855,68;12518,82
NOVARTIS 'R';CH0012005267;3110,18;2105,43;2927,65;2409,49;2619,97;3307,54;3561,28;4161,76;4475,95;3964,47;3287,58;4611,27;4956,75;5086,14;6509,85;7824,77;9945,67;7996,92;7938,04;10007,73;10265,73;12931,56;12700,74;12571,37;13172,49;17469,51;18414,87
ROCHE HOLDING;CH0012032048;983,99;859,11;726,56;531,93;564,22;852,12;845,49;1282,28;1628,95;1603,02;1250,71;1574,13;1461,26;1670,04;2333,3;2961,62;2975,26;2921,99;2786,58;2931,8;3346,47;4394,74;4656,99;5374,01;4272,19;3977,52;4799,09
