date,formation_year,oos_year,portfolio_return,cumulative_index
2014-01-31,2013,2014,0.033015861285608614,1.0330158612856086
2014-02-28,2013,2014,0.07373956022365644,1.109189996600871
2014-03-31,2013,2014,-0.005993377654728983,1.1025422020603943
2014-04-30,2013,2014,0.02719005579762977,1.132520386053658
2014-05-30,2013,2014,0.017620340398484154,1.1524757807641461
2014-06-30,2013,2014,0.013567597247510778,1.1681121079950647
2014-07-31,2013,2014,-0.029730397074257384,1.1333836711971237
2014-08-29,2013,2014,0.0035232210655125086,1.1373768324227933
2014-09-30,2013,2014,-0.0478231660578185,1.0829838712955224
2014-10-31,2013,2014,0.04066757861057868,1.127026203015422
2014-11-28,2013,2014,0.023745795537995995,1.15378833679819
2014-12-31,2013,2014,-0.016672612908907695,1.1345516704799414
2015-01-30,2014,2015,-0.03303444524372225,1.0970723854452982
2015-02-27,2014,2015,0.04601190026807793,1.1475507706312695
2015-03-31,2014,2015,-0.013555822544919705,1.1319947760233062
2015-04-30,2014,2015,0.045856482339769605,1.1839040744787304
2015-05-29,2014,2015,0.01300315822973364,1.1992985664880036
2015-06-30,2014,2015,-0.00042687692360946286,1.198786613605452
2015-07-31,2014,2015,0.07225635342585925,1.2854065628403166
2015-08-31,2014,2015,-0.03922751499859624,1.2349832576172042
2015-09-30,2014,2015,-0.05144018583872792,1.1714554893376576
2015-10-30,2014,2015,0.04182511424346007,1.2204517490103335
2015-11-30,2014,2015,0.002181310659755112,1.2231139334201664
2015-12-31,2014,2015,0.01767517674444002,1.2447326883719552
2016-01-29,2015,2016,-0.04865751487204606,1.184167089075775
2016-02-29,2015,2016,-0.025396275000109044,1.154093656035528
2016-03-31,2015,2016,0.0472817418785626,1.2086612143838862
2016-04-29,2015,2016,-0.006671351608873106,1.2005978104467236
2016-05-31,2015,2016,0.01536226003771025,1.219041706211512
2016-06-30,2015,2016,-0.03290440383219437,1.178929865622041
2016-07-29,2015,2016,0.023135662488918473,1.2062051890911787
2016-08-31,2015,2016,-0.02813359353274511,1.1722703025841994
2016-09-30,2015,2016,-0.0005660447641261117,1.1716067451172811
2016-10-31,2015,2016,-0.048661641977846365,1.114594437147554
2016-11-30,2015,2016,-0.012079458947064563,1.1011307394014036
2016-12-30,2015,2016,0.01238260658884636,1.1147656081502968
2017-01-31,2016,2017,-0.013763300861258154,1.099422753695541
2017-02-28,2016,2017,0.021717731376485184,1.1232997217294964
2017-03-31,2016,2017,-0.004183963745939573,1.1185998764179563
2017-04-28,2016,2017,0.04016993149812128,1.1635339568274725
2017-05-31,2016,2017,0.03321948728425304,1.2021859583110994
2017-06-30,2016,2017,0.00219160042820596,1.204820669572117
2017-07-31,2016,2017,0.01586605074188904,1.223936415450425
