formation_year,oos_year,ISIN,NAME,weight
2013,2014,DK0061539921,VESTAS WINDSYSTEMS,4.1339604723080817e-19
2013,2014,ES0109427734,ATRESMEDIA CORPN.DE MEDIOS DE CMNI.,0.0
2013,2014,ES0112501012,EBRO FOODS,8.054940798795517e-19
2013,2014,ES0113211835,BBV.ARGENTARIA,0.0
2013,2014,ES0113679I37,BANKINTER 'R',0.0
2013,2014,ES0113860A34,BANCO DE SABADELL,4.40625302966253e-19
2013,2014,ES0113900J37,BANCO SANTANDER,2.0492126584460827e-18
2013,2014,ES0116870314,NATURGY ENERGY GROUP,1.5798009215159138e-18
2013,2014,ES0118594417,INDRA SISTEMAS,1.5392660067136845e-18
2013,2014,ES0122060314,FOMENTO CONSTR.Y CNTR.,8.345102726451743e-20
2013,2014,ES0124244E34,MAPFRE,0.0
2013,2014,ES0125220311,ACCIONA,5.367106407608651e-18
2013,2014,ES0130670112,ENDESA,0.0
2013,2014,ES0130960018,ENAGAS,0.0
2013,2014,ES0132105018,ACERINOX 'R',0.0
2013,2014,ES0144580Y14,IBERDROLA,0.0
2013,2014,ES0148396007,INDUSTRIA DE DISENO TEXTIL,0.0
2013,2014,ES0152503035,MEDIASET ESPANA COMUNICACION,4.778217148684831e-18
2013,2014,ES0161560018,MINOR HOTELS EUROPE & AMERICAS,4.1193441855329145e-18
2013,2014,ES0167050915,ACS ACTIV.CONSTR.Y SERV.,4.719742833084297e-18
2013,2014,ES0171743901,PROMOTORA DE INFORMACIONES,0.0
2013,2014,ES0171996087,GRIFOLS ORD CL A,0.0
2013,2014,ES0173093024,REDEIA CORPORACION,0.0
2013,2014,ES0173516115,REPSOL YPF,0.0
2013,2014,ES0178430E18,TELEFONICA,3.373441508566784e-18
2013,2014,ES0182870214,SACYR,2.884331228049131e-18
2013,2014,FI0009000202,KESKO B,2.542856137434097e-19
2013,2014,FI0009000277,TIETOEVRY,0.0
2013,2014,FI0009000459,HUHTAMAKI,4.550096741643978e-19
2013,2014,FI0009000681,NOKIA,0.0
2013,2014,FI0009002158,UPONOR DEAD - DELIST.30/04/24,5.623038425085395e-18
2013,2014,FI0009002422,OUTOKUMPU 'A',0.0
2013,2014,FI0009003727,WARTSILA,0.0
2013,2014,FI0009005318,NOKIAN RENKAAT,0.0
2013,2014,FI0009005870,KONECRANES,2.9102986264279765e-18
2013,2014,FI0009005961,STORA ENSO R,1.0978635939522473e-18
2013,2014,FI0009005987,UPM-KYMMENE,0.0
2013,2014,FI0009007132,FORTUM,4.889610656293673e-19
2013,2014,FI0009007694,SANOMA,4.542566586223105e-18
2013,2014,FI0009007884,ELISA,4.146185509968091e-19
2013,2014,FI0009013296,NESTE,0.0
2013,2014,FI0009013403,KONE B,1.380501191711784e-18
2013,2014,FI0009800643,YIT,8.757251096247028e-19
2013,2014,FI4000440664,NELES DEAD - DELIST.01/04/22,0.0
2013,2014,FR0000035081,ICADE REIT,1.6096430787058877e-18
2013,2014,FR0000039109,SECHE ENVIRONNEMENT,0.0
2013,2014,FR0000044448,NEXANS,0.0
2013,2014,FR0000045072,CREDIT AGRICOLE,9.65839221998351e-18
2013,2014,FR0000054900,TF1 (TV.FSE.1),0.0
2013,2014,FR0000064578,COVIVIO,0.0
2013,2014,FR0000073272,SAFRAN,0.0
2013,2014,FR0000077919,JCDECAUX,0.0
