date_str,portfolio_return
2014-01,0.024150883262797518
2014-02,0.06502546456374911
2014-03,-0.012110971737632007
2014-04,0.03299134330005132
2014-05,
2014-06,0.02891657023558664
2014-07,-0.0281741972944215
2014-08,
2014-09,-0.039354546214819486
2014-10,0.03868507794925031
2014-11,
2014-12,-0.012785294223563122
2015-01,
2015-02,
2015-03,-0.02141670442089307
2015-04,0.04029141248551801
2015-05,
2015-06,-0.009670314115692689
2015-07,0.07516703811820673
2015-08,-0.046888440959950116
2015-09,-0.054456804057574915
2015-10,
2015-11,0.01016046133845595
2015-12,0.0010095565107823487
2016-01,
2016-02,-0.03211073847370964
2016-03,0.05205625059379746
2016-04,
2016-05,0.0051899190262013235
2016-06,-0.028663964841962174
2016-07,
2016-08,-0.04785005982747601
2016-09,0.02332939625494956
2016-10,-0.024543179242667995
2016-11,0.005055960399121705
2016-12,
2017-01,-0.0215474360090564
2017-02,0.022737224639283675
2017-03,-0.021487654183014612
2017-04,
2017-05,0.017851708510657278
2017-06,0.011546317588278497
2017-07,0.016608623813298525
2017-08,-0.0838193224257541
2017-09,
2017-10,-0.018167656769907718
2017-11,-0.013240201982605903
2017-12,
2018-01,0.03951202471976999
2018-02,-0.024114582838711277
2018-03,
2018-04,0.019376641300441498
2018-05,0.011303582617518862
2018-06,
2018-07,0.021020832432109775
2018-08,-0.001232973002049869
2018-09,
2018-10,-0.021086537810561957
2018-11,0.010645856438374717
2018-12,-0.07702618191895468
2019-01,0.06196656078813673
2019-02,0.021189342590269045
2019-03,
2019-04,-0.00946875712453785
2019-05,-0.03630802028681102
2019-06,
2019-07,-0.024831195262631098
2019-08,
2019-09,-0.0071923629224215635
2019-10,0.010600683983691789
2019-11,
2019-12,0.05600479049407982
2020-01,-9.545968542615246e-05
2020-02,
2020-03,-0.1182633574489727
2020-04,0.06886610028234817
2020-05,
2020-06,0.0018793001209756917
2020-07,0.04682963513978168
2020-08,0.03495080120977764
2020-09,-0.0534385588230305
2020-10,
2020-11,0.14182017152404947
2020-12,0.04360558125287323
2021-01,
2021-02,
2021-03,0.019074870284030435
2021-04,0.03500422823961345
2021-05,0.017973774822474014
2021-06,-0.013295733057825455
2021-07,
2021-08,0.01242295935984469
2021-09,-0.06250422136752641
2021-10,
2021-11,-0.01593354636588699
2021-12,0.05029801760381493
2022-01,-0.04483451460430338
2022-02,0.003581410326938539
2022-03,0.02243813564816318
2022-04,
2022-05,-0.0016420954585970949
2022-06,-0.06653009184043462
2022-07,
2022-08,-0.04478538480481631
2022-09,-0.12015555679469127
2022-10,0.08009501604194233
2022-11,0.0927802055607724
2022-12,
2023-01,0.0005328619622814966
2023-02,-0.011801346289982459
2023-03,0.006929199704857317
2023-04,
2023-05,-0.04066581870667704
2023-06,-0.10270266270518127
2023-07,0.034032711145944285
2023-08,-0.03308575856323806
2023-09,
2023-10,-0.020661440758800144
2023-11,0.04306138465233763
2023-12,
2024-01,-0.00715334867010257
2024-02,0.0010902946635166998
2024-03,
2024-04,0.01527999629208192
2024-05,0.042718863983823144
2024-06,
2024-07,0.04976261586327332
2024-08,
2024-09,-0.009953092796069603
2024-10,-0.018059788600861822
2024-11,
2024-12,-0.021692613994033647
2025-01,0.038775041911573854
2025-02,0.008923045766262022
2025-03,0.017584275642769917
2025-04,0.09323532843657133
2025-05,
2025-06,0.00827481142730355
2025-07,-0.025048520292710704
2025-08,
2025-09,0.0031656329594707527
2025-10,-0.011978973895313761
2025-11,
2025-12,0.052894279206274264
