,Annualized mean return,Annualized volatility,Sharpe ratio,Minimum monthly return,Maximum monthly return,Final cumulative index,Maximum drawdown,Number of monthly observations,Ex-post tracking error vs benchmark
Minimum-Variance,0.048661491452659175,0.13503013996104588,0.2307840287976592,-0.12015348778628418,0.1366744089184577,1.6065913534166896,-0.23936669622004003,144.0,0.0
Minimum-Variance 50% CF Reduction,0.0503878551924036,0.13531468648987233,0.2430499640152737,-0.11524092880181355,0.13710955486681345,1.6394339692881499,-0.2353444791031052,144.0,0.007672400904913914
Value-Weighted,0.08034596364402047,0.1584633268792941,0.3975839397719398,-0.15297286389009973,0.18286257955949803,2.253410873253001,-0.2839498868501703,144.0,0.0
Value-Weighted 50% CF Reduction,0.07721695094442255,0.15984186185042099,0.37435931278608764,-0.17712822744598827,0.18254353660252282,2.1633483084848795,-0.2749402644467952,144.0,0.020829106170816482
Value-Weighted Net Zero,0.07971040450132892,0.1598254798428815,0.3900899890043293,-0.1718864694060624,0.18346515602788188,2.2294239057077614,-0.27093630971434846,144.0,0.01938833452816836
