date,Minimum-Variance,Minimum-Variance 50% CF Reduction,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
2014-01-31,0.033015861285608614,0.03392023005113801,-0.03342473129531691,-0.03117761081328758,-0.03096648207740189
2014-02-28,0.07373956022365644,0.0735201371296364,0.07106918428825448,0.070582964107656,0.06889488576842362
2014-03-31,-0.005993377654728983,0.0008728277179236351,-0.007198907681201382,-0.004640681416803134,-0.001287146369321691
2014-04-30,0.02719005579762977,0.03164540812848054,0.01982140441508791,0.025691220819022142,0.023881244849406045
2014-05-30,0.017620340398484154,0.012533169229762846,0.012437547408905434,0.012926076673729156,0.011845121281592551
2014-06-30,0.013567597247510778,0.010206743420574607,-0.0043130945503394155,-0.0017486432972443839,-0.0008081938151561592
2014-07-31,-0.029730397074257384,-0.03239504449287484,-0.039014683896656834,-0.03908532753041529,-0.038929631012446356
2014-08-29,0.0035232210655125086,0.007656137243767076,0.0056825258677800795,0.0016073889707877344,0.002651942051253282
2014-09-30,-0.0478231660578185,-0.04482021997787939,-0.03353621820260634,-0.035433541181300036,-0.03273772486961269
2014-10-31,0.04066757861057868,0.03975129422962826,-0.02042306143093545,-0.024199058626883728,-0.02336712217073994
2014-11-28,0.023745795537995995,0.025976092989793323,0.027479473012648817,0.027932763123324395,0.025890533794095307
2014-12-31,-0.016672612908907695,-0.02074374586228695,-0.04031890442839235,-0.03686234578713854,-0.03656848472938669
2015-01-30,-0.03303444524372225,-0.033239415981067465,-0.0017147480268574124,-0.012175287697281368,-0.0068367961257053515
2015-02-27,0.04601190026807793,0.04559674916462849,0.06119611118443391,0.06478622353503274,0.06680759464602375
2015-03-31,-0.013555822544919705,-0.012412501981540917,-0.021163727733258097,-0.016988962023206117,-0.01727032863837534
2015-04-30,0.045856482339769605,0.045622861131839665,0.037436240055956575,0.04414425221100422,0.041458365505748496
2015-05-29,0.01300315822973364,0.014995660343815453,-0.00455951993797225,-0.00450508795475273,-0.004255007088135635
2015-06-30,-0.00042687692360946286,0.0025411552863527304,-0.02666943313345012,-0.022950106298088364,-0.02510688952106818
2015-07-31,0.07225635342585925,0.07414109705782727,0.03197980231843764,0.0316735489535505,0.03077232624017819
2015-08-31,-0.03922751499859624,-0.03685148860177301,-0.06779033012267344,-0.06488976451455873,-0.06685087815533719
2015-09-30,-0.05144018583872792,-0.04936851739116114,-0.04496031923946407,-0.04453426774623404,-0.04341438896266392
2015-10-30,0.04182511424346007,0.04103791198954715,0.07254513310175473,0.0744130343767875,0.07475789035834685
2015-11-30,0.002181310659755112,0.0018383128670107305,-0.016960613164711064,-0.01632489386099737,-0.019197672832472513
2015-12-31,0.01767517674444002,0.01970734797044984,-0.026197843369053404,-0.028330448384330083,-0.028916604066351437
2016-01-29,-0.04865751487204606,-0.04823729895040747,-0.06544782084509655,-0.07380963105863275,-0.07663223045438777
2016-02-29,-0.025396275000109044,-0.024370284403369975,-0.02176033404005155,-0.018458856247248988,-0.01661217591145838
2016-03-31,0.0472817418785626,0.046499898797912914,0.06455193025285502,0.07104648684225084,0.07552139903582505
2016-04-29,-0.006671351608873106,-0.009603790384444309,0.025037008179949,0.02211284778587616,0.026891973255304232
2016-05-31,0.01536226003771025,0.01709344669595124,-0.0018419021922279298,-0.0027605343352352135,-0.0050958491413478565
2016-06-30,-0.03290440383219437,-0.03329581098190676,-0.048451729117808325,-0.052868759525954614,-0.04974956498223643
2016-07-29,0.023135662488918473,0.02105664699428047,0.040518099549223995,0.04259107973010325,0.04074087331276603
2016-08-31,-0.02813359353274511,-0.025810528752190573,0.005358873204871173,-0.0009267535315722563,0.0005249654830748016
2016-09-30,-0.0005660447641261117,-0.0020800643537076044,0.007338017416193258,0.006605897901066946,0.007352106148063231
2016-10-31,-0.048661641977846365,-0.0506282409304679,-0.03037522537586913,-0.02791919102243303,-0.0220090346063747
2016-11-30,-0.012079458947064563,-0.014147489467995288,-0.022891954995538165,-0.02054149420938585,-0.020681786312182864
2016-12-30,0.01238260658884636,0.013565417714117779,0.050339775311452305,0.049755735229715714,0.04826002033203919
2017-01-31,-0.013763300861258154,-0.013571622861527237,0.018621136810406926,0.0192559123995529,0.017843483709735465
2017-02-28,0.021717731376485184,0.02207145769226977,0.011476206275214822,0.016273655040284867,0.016743605918200163
2017-03-31,-0.004183963745939573,-0.002942880601074128,0.04154874861980064,0.040744401854936274,0.039723830221725445
2017-04-28,0.04016993149812128,0.039404148171080275,0.03920043529258422,0.04432445270676029,0.04161697368456874
2017-05-31,0.03321948728425304,0.035607347833699926,0.05080640705381746,0.05496280985993589,0.05711931242349537
2017-06-30,0.00219160042820596,0.0018810723548881164,-0.009435785184280572,-0.008619405901068045,-0.011021066914169165
2017-07-31,0.01586605074188904,0.01537096895273388,0.027460548466680314,0.026613863935598104,0.02283101224058573
2017-08-31,-0.0849193062965203,-0.08754764244413095,-0.001361223405373515,-0.0002831067238071377,-0.0019624872011688773
2017-09-29,0.028861297310306344,0.02904190290847537,0.035159561439573925,0.030935026164018088,0.033686736082425034
2017-10-31,-0.012834961951993885,-0.012587469816134022,0.007582005430298502,0.0019430878153593697,-0.00010900442953651638
2017-11-30,-0.008010652111767505,-0.008326166578114275,0.003609537874021297,0.0029272974782813287,0.000546578303873029
2017-12-29,0.017997248669017328,0.015791810475718968,0.010957690568882506,0.010115386082747629,0.0077706526014598865
2018-01-31,0.027821624356460493,0.02981293664377479,0.05585930409302058,0.05462598311264823,0.05260147920246716
2018-02-28,-0.03470120686460704,-0.034405309834664506,-0.05816061211566949,-0.05296409504921064,-0.053731471435201905
2018-03-30,-0.006209942426873562,-0.0068586146791382915,-0.01106405021419142,-0.0034220817456422853,-0.007948256773329814
2018-04-30,0.021869008457811676,0.021598503448171318,0.028355838640134128,0.025343715722321532,0.027832546001665855
2018-05-31,0.005609120250865983,0.0024979338637476957,-0.030404337398810103,-0.022120086994719484,-0.02364624489822416
2018-06-29,0.010207823022213895,0.009353373905826471,-0.004000972219735838,-0.010586943811965089,-0.010697619882200592
2018-07-31,0.014466029682156694,0.013306186241940068,0.03183916348459482,0.03420207397164419,0.03534905156228858
2018-08-31,0.004554593409882986,0.006869039946182398,-0.026163451629996236,-0.01783367747790205,-0.01681835824401591
2018-09-28,-0.010811437553792347,-0.014892576555454774,0.0036578076928571682,0.0012742171550048085,0.006450083656321435
2018-10-31,-0.020563230573538822,-0.02167283351583586,-0.07546515474069565,-0.07034646562944971,-0.0691882335670378
2018-11-30,0.011938513435883638,0.01459045575390843,-0.004054173488931898,-0.010816053560933299,-0.009686334235641407
2018-12-31,-0.07780451521156455,-0.07876906041715731,-0.05153388726463433,-0.05335951953764696,-0.05118925332856224
2019-01-31,0.060320422736375306,0.060388691983396,0.06891605751651872,0.07341823361883223,0.07186246312421185
2019-02-28,0.031140383493706087,0.029831666598678364,0.03433749896076447,0.03917156953675935,0.03632815017880893
2019-03-29,0.018523140965455015,0.013262276378283241,0.009364418661945324,0.001900403998172223,0.0015069429804767647
