ISIN,NAME,Minimum-Variance,Minimum-Variance 50% CF Reduction,weight_change,comparison,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
GB0004866223,KELLER,3.545441416616786e-18,0.0,-3.545441416616786e-18,Minimum-Variance 50% CF Reduction,,,
GB0003395000,FISHER(JAMES)& SONS,3.543216287303697e-18,0.0,-3.543216287303697e-18,Minimum-Variance 50% CF Reduction,,,
ES0142090317,OBRASCON HUARTE LAIN,3.4637204369350976e-18,0.0,-3.4637204369350976e-18,Minimum-Variance 50% CF Reduction,,,
GB0009286963,VP,3.4381128435139558e-18,0.0,-3.4381128435139558e-18,Minimum-Variance 50% CF Reduction,,,
GB0009895292,ASTRAZENECA,3.4128015060616215e-18,0.0,-3.4128015060616215e-18,Minimum-Variance 50% CF Reduction,,,
GB0009296665,VIDENDUM,3.4054867226604345e-18,0.0,-3.4054867226604345e-18,Minimum-Variance 50% CF Reduction,,,
GB00B01QGK86,NCC GROUP,3.3598601411949382e-18,0.0,-3.3598601411949382e-18,Minimum-Variance 50% CF Reduction,,,
GB0007980591,BP,3.307172367409689e-18,0.0,-3.307172367409689e-18,Minimum-Variance 50% CF Reduction,,,
GB0008085614,MORGAN SINDALL GROUP,3.2736756721414436e-18,0.0,-3.2736756721414436e-18,Minimum-Variance 50% CF Reduction,,,
SE0000667925,TELIA COMPANY,3.258877330025796e-18,0.0,-3.258877330025796e-18,Minimum-Variance 50% CF Reduction,,,
GB00B61TVQ02,INCHCAPE,3.1875499214783455e-18,0.0,-3.1875499214783455e-18,Minimum-Variance 50% CF Reduction,,,
ES0124244E34,MAPFRE,3.18509977523809e-18,0.0,-3.18509977523809e-18,Minimum-Variance 50% CF Reduction,,,
FR0000045072,CREDIT AGRICOLE,3.0755050037057517e-18,0.0,-3.0755050037057517e-18,Minimum-Variance 50% CF Reduction,,,
BE0974271034,VIOHALCO,3.066344162356191e-18,0.0,-3.066344162356191e-18,Minimum-Variance 50% CF Reduction,,,
