strategy,avg_WACI,avg_carbon_footprint,first_carbon_footprint,last_carbon_footprint,first_year,last_year
Minimum-Variance,55.68653590669681,128.10905469556238,12.350903862695375,44.01503553711643,2013,2024
Minimum-Variance 50% CF Reduction,32.85719248234845,64.05452734778119,6.1754519313477605,22.00751776855817,2013,2024
Value-Weighted,101.92321697828378,129.51007784060317,188.55602175031208,74.32103989894856,2013,2024
Value-Weighted 50% CF Reduction,58.26297117017069,64.64943936986921,94.27801087515604,37.16051994947427,2013,2024
Value-Weighted Net Zero,82.07552724428315,97.97575452301633,148.229004532035,53.25378982364201,2013,2024
