date,Minimum-Variance,Minimum-Variance 50% CF Reduction,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
2014-01-31,1.0330158612856086,1.033920230051138,0.9665752687046831,0.9688223891867124,0.9690335179225981
2014-02-28,1.109189996600871,1.109934187145603,1.0352689846047254,1.0372047451093718,1.0357949714456491
2014-03-31,1.1025422020603943,1.1109029684692149,1.027816178759345,1.0323914083233225,1.0344617517087913
2014-04-30,1.132520386053658,1.1460579462975637,1.0481889389029042,1.0589148039662182,1.0591659860886944
2014-05-30,1.1524757807641461,1.1604216844856254,1.0612258385239992,1.0726024179132323,1.0717119356512526
2014-06-30,1.1681121079950647,1.172265810878841,1.056648671143182,1.0707268188845402,1.0708457846932302
2014-07-31,1.1333836711971237,1.1342902077779449,1.0154238572487082,1.0288771104728383,1.0291581534238892
2014-08-29,1.1373768324227933,1.1429744892829539,1.0211940295842852,1.0305309161925083,1.031887421208344
2014-09-30,1.0829838712955224,1.0917461212441875,0.9869470437809478,0.9940155565349982,0.998105774716411
2014-10-31,1.127026203015422,1.1351444425338206,0.9667905636767293,0.9699613158063732,0.9747829151392917
2014-11-28,1.15378833679819,1.1646310601299263,0.9933574588801676,0.9970550154795806,1.0000205651456122
2014-12-31,1.1345516704799414,1.1404722493952653,0.9533063744323474,0.9603012287301715,0.9634513283800122
2015-01-30,1.0970723854452982,1.1025636178827523,0.951671694207799,0.9486092849943288,0.9568644080708382
2015-02-27,1.1475507706312695,1.1528369346053975,1.009910301017618,1.010066098179379,1.0207902175764423
2015-03-31,1.1319947760233062,1.1385273438702146,0.9885368343718683,0.9929061235964816,1.0031608350480585
2015-04-30,1.1839040744787304,1.1904702187744076,1.025543936607569,1.0367372219383753,1.044750243608533
2015-05-29,1.1992985664880036,1.2083221058245763,1.0208679485813401,1.0320666295675769,1.0403048239166472
2015-06-30,1.198786613605452,1.2113926399314094,0.9936419790885677,1.0083805907122911,1.0141860056343377
2015-07-31,1.2854065628403166,1.3012066192237017,1.0254184531551211,1.040319582716027,1.0453948682679408
2015-08-31,1.2349832576172042,1.253255218326828,0.9559049977018543,0.9728134899737,0.975509303305146
2015-09-30,1.1714554893376576,1.1913838662852965,0.9129272038425797,0.9294899535440628,0.9331581629747591
2015-10-30,1.2204517490103335,1.240275772535679,0.9791556293575525,0.9986561214100158,1.0029190986094223
2015-11-30,1.2231139334201664,1.242555787446973,0.9625485494999698,0.9823531662243621,0.9836653858768803
2015-12-31,1.2447326883719552,1.267043266722887,0.9373318533650601,0.9545226605534596,0.9552211233797038
2016-01-29,1.184167089075775,1.2059245218828742,0.8759855261536212,0.8840696951409043,0.8820203981179711
2016-02-29,1.154093656035528,1.1765357983155906,0.8569237884902682,0.8677507797257491,0.8673681201069408
2016-03-31,1.2086612143838862,1.2312445938693872,0.9122398731169042,0.9294014240798875,0.9328729740164904
2016-04-29,1.2005978104467236,1.2194199788778854,0.9350796302822078,0.9499531363025425,0.9579597690843379
2016-05-31,1.219041706211512,1.2402640692868125,0.9333573050612833,0.9473307580529149,0.9530781506176037
2016-06-30,1.178929865622041,1.1989684712681883,0.8881345297463265,0.897246556013875,0.9056629272303036
