formation_year,ISIN,NAME,weight,carbon_intensity,WACI_contribution
2013,CH0012214059,HOLCIM,0.0031868042422575136,4010.828314419435,12.781724687358409
2013,DE0007037129,RWE,0.0026985537364275446,2384.354012777204,6.4343074301459335
2013,FI0009007132,FORTUM,0.0021031732083710997,2453.929547327054,5.161038879168481
2013,IT0003128367,ENEL,0.004986702700672211,1020.1678217120635,5.087273631670434
2013,GB0007188757,RIO TINTO,0.010094060176800455,468.4230838578151,4.728290796663231
2013,DE0006047004,HEIDELBERG MATERIALS,0.0015007895398802895,2749.6767697672203,4.126686134118468
2013,ES0130670112,ENDESA,0.003087537936784647,1236.5541752219929,3.8179079268873526
2013,FR0010242511,EDF DEAD - DELIST.08/06/23,0.004441212140093093,805.973780107605,3.5795005368106163
2013,GB00B1VNSX38,DRAX GROUP,0.0004664508853241236,7251.432354163953,3.38243704146777
2013,IT0003132476,ENI,0.01136312256578827,273.0428683305306,3.102619578554208
2014,CH0012214059,HOLCIM,0.0025665123552335105,4724.502667123674,12.125494467506583
2014,FR0010242511,EDF DEAD - DELIST.08/06/23,0.00685473457823136,785.6462639741814,5.385396611922103
2014,DE0007037129,RWE,0.002310421998855853,2254.1123948804184,5.20795086502537
2014,FI0009007132,FORTUM,0.0020596562231031687,2504.1235585867803,5.157633670862515
2014,IT0003128367,ENEL,0.004571495159215624,1105.7350844112111,5.054862585760731
2014,DE0006047004,HEIDELBERG MATERIALS,0.0015078663584394364,2526.735086689308,3.8099788339073606
2014,GB0007188757,RIO TINTO,0.008119209338888975,410.5405672005981,3.3332648072078728
2014,ES0144580Y14,IBERDROLA,0.0042569021893155016,681.0088368751402,2.8989880086369877
2014,GB00B1VNSX38,DRAX GROUP,0.000572082518065908,4927.518416210363,2.8189471433617594
2014,FR0000120271,TOTALENERGIES,0.014673886145037961,189.55809497440436,2.781553903524702
2015,CH0012214059,HOLCIM,0.0026165472037738844,7256.528238876394,18.98704867253826
2015,FI0009007132,FORTUM,0.0021063073509540184,3581.282399704145,7.543281444339088
2015,IT0003128367,ENEL,0.00473893390448326,1436.8144120889292,6.808968531898409
2015,DE0007037129,RWE,0.0018356867026200806,2909.4029496340895,5.340752307206938
2015,DE0006047004,HEIDELBERG MATERIALS,0.0015686174386696575,3298.717302163623,5.174425485415185
2015,ES0144580Y14,IBERDROLA,0.004927654044501954,933.9972081889484,4.602415120485806
2015,FR0010242511,EDF DEAD - DELIST.08/06/23,0.005667536257203982,714.9590062345635,4.052056090248916
2015,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.004961407334664187,777.9049284456046,3.8595032176614423
2015,FR0000120271,TOTALENERGIES,0.014218563388494457,230.62980744744834,3.279224536467815
2015,ES0130670112,ENDESA,0.002357435193876325,1390.0849160746477,3.277035103630992
2016,CH0012214059,HOLCIM,0.003037223992559518,5495.156668431031,16.690021676232156
2016,DE0006047004,HEIDELBERG MATERIALS,0.0017108815945099402,5069.09710795746,8.672624942787985
2016,FI0009007132,FORTUM,0.0016953626483047798,4933.064154234107,8.363332708779716
2016,IT0003128367,ENEL,0.004800133524669071,1339.8805910669873,6.431605744234056
2016,ES0144580Y14,IBERDROLA,0.0056737459605152646,777.4241533455278,4.410907149651187
2016,FR0000120271,TOTALENERGIES,0.012927942515758788,289.255088496148,3.7394731564689225
2016,ES0130670112,ENDESA,0.002598653108027667,1368.003386772684,3.55496625282921
2016,IT0003132476,ENI,0.00626899900000075,561.4853853452802,3.5199513192445973
2016,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.004461886783081373,787.5766972958318,3.514078056327151
2016,GB00BP6MXD84,SHELL,0.010401755853142665,288.3057424737786,2.9988859442712683
2017,CH0012214059,HOLCIM,0.0038457001076536044,4816.907330020257,18.52438103761634
2017,DE0006047004,HEIDELBERG MATERIALS,0.0022540792034451127,4502.877173774633,10.149841793073104
2017,FI0009007132,FORTUM,0.001565269966477875,4687.790598432138,7.33765783286317
2017,IT0003128367,ENEL,0.00493345826655129,1429.1858636523236,7.0508288134738
2017,GB00BP6MXD84,SHELL,0.013888016478278415,335.27114698073524,4.656251213959755
2017,IT0003132476,ENI,0.006425984392431444,716.0422639839238,4.601276412681971
2017,GB0007188757,RIO TINTO,0.006998204740250718,635.1655265180814,4.445018398522681
2017,ES0130670112,ENDESA,0.002536446169164514,1726.243323791854,4.378523265677666
2017,FR0000120271,TOTALENERGIES,0.014245404754372649,303.3797485986231,4.3217673130672045
2017,GB0007980591,BP,0.013329826083799423,296.0402274702762,3.9461647459872022
