ISIN,NAME,emissions_scope1,revenue_musd,market_cap_musd,carbon_intensity,carbon_footprint_coeff,weight,WACI_contribution,formation_year,strategy
GB00BDR05C01,NATIONAL GRID,7914000.0,20981.115,43840.44,377.1963501463101,180.51826122183078,0.017862199663070972,6.737556518495021,2013,Minimum-Variance
GB0002670437,DEVRO DEAD - DELIST.14/04/23,79297.0,379.551,914.82,208.9231750146884,86.68043986795216,0.016578944473367756,3.463725717768213,2013,Minimum-Variance
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,438420.0,20317.007,35619.64,21.57896583881671,12.308378186865449,0.14824451591230695,3.198963344663592,2013,Minimum-Variance
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,15077.0,361.494,1057.92,41.70746955689444,14.251550211736236,0.06970297921575937,2.9071348836661297,2013,Minimum-Variance
GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,36600.0,843.275,1495.67,43.402211615427944,24.470638576691382,0.06619579534002679,2.873043917399402,2013,Minimum-Variance
GB00B39J2M42,UNITED UTILITIES GROUP,115250.0,2511.404,7853.37,45.89066514188876,14.675228596131342,0.05984209461695042,2.7461935254556957,2013,Minimum-Variance
GB0002074580,GENUS,62719.0,538.619,1383.84,116.44409127787917,45.32243611978264,0.009439413441219131,1.09916392035896,2013,Minimum-Variance
GB0009895292,ASTRAZENECA,318600.0,27651.818,60295.08,11.521846411689822,5.2840132229694365,0.06929741894166018,0.7984342177723336,2013,Minimum-Variance
GB00BN7SWP63,GLAXOSMITHKLINE,1037288.0,41614.276,112105.24,24.92625367313852,9.25280566724624,0.02213539070865861,0.5517523639580578,2013,Minimum-Variance
NO0003054108,MOWI,50714.0,2847.128,3826.83,17.81233579944421,13.252221812832031,0.024101205592042475,0.42929876717690313,2013,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,39050000.0,15023.055,2036.03,2599.3381505958673,19179.481638286274,0.02208093580888616,57.39581884889621,2014,Minimum-Variance
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,428744.0,20314.008,41691.77,21.105830026255774,10.28366030034225,0.16152428448645714,3.4091040934837467,2014,Minimum-Variance
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,14437.0,419.242,1310.44,34.43595822937587,11.016910350721895,0.09507409477601986,3.2739675564027424,2014,Minimum-Variance
GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,38896.0,771.36,1254.84,50.42522298278365,30.996780466035514,0.029039552344550464,1.464325902294175,2014,Minimum-Variance
GB0002318888,CRANSWICK,33432.0,1535.284,1050.1,21.775775687104144,31.836967907818305,0.05995116981858734,1.3054832261490459,2014,Minimum-Variance
IE00BGH1M568,PERRIGO,51485.0,3799.5,20338.97,13.550467166732465,2.5313474576146184,0.07824727614796004,1.060287146329181,2014,Minimum-Variance
NO0003054108,MOWI,67292.0,3064.323,4814.13,21.959826036615592,13.978018873607484,0.03401567187201083,0.746978236827956,2014,Minimum-Variance
IE00BLP1HW54,AON CLASS A,54431.0,11815.0,23148.59,4.60694033008887,2.351374316967038,0.05732361215629652,0.26408646070921504,2014,Minimum-Variance
DK0060448595,COLOPLAST B,8200.0,2143.663,14937.76,3.8252281258761287,0.5489444200469147,0.0684431109135959,0.2618105128891464,2014,Minimum-Variance
GB00B39J2M42,UNITED UTILITIES GROUP,101992.0,2721.564,8046.19,37.47551040504651,12.675813024549507,0.006483091400193165,0.2429571592248065,2014,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,36870000.0,11931.769,3828.21,3090.069879830895,9631.133088310202,0.006918097759723303,21.377405513046572,2015,Minimum-Variance
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,405044.0,20272.007,54810.25,19.98045876760007,7.389931627752109,0.1633213076472453,3.263234653316311,2015,Minimum-Variance
GB00B39J2M42,UNITED UTILITIES GROUP,104041.0,2559.878,10263.12,40.64295251570582,10.13736563540132,0.06467421736210618,2.628551145238519,2015,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,7020000.0,21730.015,57585.2,323.0554603850941,121.90632315247669,0.0060216447869769025,1.945325228932325,2015,Minimum-Variance
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,14988.0,404.318,1353.71,37.06983117249294,11.071795288503445,0.04889348093408919,1.8124730836621887,2015,Minimum-Variance
NO0003054108,MOWI,103645.0,3346.322,5437.88,30.97281134331962,19.05981742885095,0.0476888977353368,1.477059232727449,2015,Minimum-Variance
GB00B3DGH821,DE LA RUE ORD DEAD - DELIST.03/07/25,40498.0,743.079,782.24,54.50026174875081,51.77183473102884,0.017708134382678535,0.965097958938034,2015,Minimum-Variance
IE00BGH1M568,PERRIGO,60027.0,4060.8,21454.41,14.782062647754136,2.797886308688983,0.05474349308731932,0.8092217443736497,2015,Minimum-Variance
GB0002318888,CRANSWICK,33432.0,1492.96,967.36,22.39309827456864,34.56003969566655,0.025978049360285048,0.581729012306458,2015,Minimum-Variance
IE00BLP1HW54,AON CLASS A,54431.0,12045.0,25741.01,4.518970527189706,2.114563492263901,0.08849778527004074,0.39991888335687736,2015,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,35810000.0,8263.231,1136.43,4333.655927082275,31510.959759950016,0.012541598477380175,54.35097257658463,2016,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,7000000.0,22552.67,57890.05,310.3845354009082,120.91887984204538,0.02012730811945398,6.2472051795276515,2016,Minimum-Variance
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,392268.0,19651.996,62196.57,19.96072052935488,6.306907278005845,0.16063254507438487,3.2063413401487972,2016,Minimum-Variance
GB00B39J2M42,UNITED UTILITIES GROUP,110533.0,2468.993,9423.45,44.7684541835477,11.729568257909788,0.06599788692929547,2.954623377205126,2016,Minimum-Variance
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,15616.0,438.808,1668.54,35.58731837158849,9.359080393637552,0.05017852048392041,1.78571898387655,2016,Minimum-Variance
NO0003054108,MOWI,111818.0,3194.894,6096.28,34.99897023187624,18.342005288471004,0.04901269978015019,1.7153940205893636,2016,Minimum-Variance
IE00BGH1M568,PERRIGO,87020.0,5539.2,21083.36,15.709849797804738,4.127425609580256,0.035636552032902453,0.5598448797485507,2016,Minimum-Variance
IE00BLP1HW54,AON CLASS A,54431.0,11682.0,23611.62,4.659390515322719,2.3052632559731183,0.09656209790207053,0.44992052310457126,2016,Minimum-Variance
CH0014786500,VALIANT 'R',1444.0,500.23,1702.35,2.886672130819823,0.8482391987546627,0.1371722083777458,0.3959711910470482,2016,Minimum-Variance
GB0002318888,CRANSWICK,33432.0,1510.522,1501.73,22.13274616324688,22.26232411951549,0.015409735683727523,0.34105976833066887,2016,Minimum-Variance
GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,36680000.0,7189.421,4235.64,5101.94075433891,8659.848334608228,0.02739004087719969,139.74236581439376,2017,Minimum-Variance
GB00BDR05C01,NATIONAL GRID,5800000.0,19379.478,47259.41,299.28566703396245,122.72688127084108,0.06613344316556409,19.792791651058494,2017,Minimum-Variance
GB00B39J2M42,UNITED UTILITIES GROUP,128649.0,2163.022,7772.06,59.47651017881464,16.552754353414667,0.027070468028647442,1.610056967251126,2017,Minimum-Variance
GB00BRB37M78,DIGNITY DEAD - DELIST.25/05/23,15535.0,393.003,1512.19,39.52896033872515,10.273179957545016,0.0406223086880908,1.6057576289989914,2017,Minimum-Variance
US8816242098,TEVA PHARMACEUTICAL INDUSTRIES ADR 1:1,458755.0,21902.99,34680.93,20.94485730030466,13.227874800358583,0.07471814285291285,1.5649608397980381,2017,Minimum-Variance
NO0003054108,MOWI,124219.0,3951.336,8087.95,31.437215159632085,15.358527191686399,0.0254572896205923,0.8003062911836288,2017,Minimum-Variance
DE0005785802,FRESENIUS MED.CARE,326000.0,17906.835,25399.03,18.205338911091772,12.835135829990358,0.039950361376295276,0.7273098684760463,2017,Minimum-Variance
IE00BGH1M568,PERRIGO,69920.0,5280.7,11243.42,13.24066885072055,6.218748387946016,0.05390147362905219,0.7136915628881265,2017,Minimum-Variance
IE00BLP1HW54,AON CLASS A,54431.0,11627.0,29592.8,4.681431151629827,1.8393325403476521,0.1292750754779507,0.6051923654717755,2017,Minimum-Variance
