,Annualized mean return,Annualized volatility,Sharpe ratio,Minimum monthly return,Maximum monthly return,Final cumulative index,Maximum drawdown,Number of monthly observations
Minimum-Variance,0.041306673310533934,0.1375781755135274,0.1731469824284233,-0.12015539460332658,0.1407732607905249,1.4650235902943747,-0.23876173974711778,144.0
Value-Weighted,0.08034596364402047,0.1584633268792941,0.3975839397719398,-0.15297286389009973,0.18286257955949803,2.253410873253001,-0.2839498868501703,144.0
