date,formation_year,oos_year,portfolio_return,cumulative_index
2019-06-28,2018,2019,0.06775783630608034,1.1833947007733774
2019-07-31,2018,2019,-0.01620973952568178,1.1642121809177688
2019-08-30,2018,2019,-0.023392521901586437,1.1369783219775562
2019-09-30,2018,2019,0.027755332967435816,1.1685355338807997
2019-10-31,2018,2019,0.031000068264225068,1.2047602152002772
2019-11-29,2018,2019,0.01667001816429973,1.2248435898712915
2019-12-31,2018,2019,0.04009107556991087,1.2739488867941424
2020-01-31,2019,2020,-0.02691410052263761,1.2396616983942625
2020-02-28,2019,2020,-0.09450822904669037,1.1225034666620084
2020-03-31,2019,2020,-0.15297286389009973,0.9507908966401558
2020-04-30,2019,2020,0.06242998938115143,1.0101487622210963
2020-05-29,2019,2020,0.04440647185214279,1.0550059047971443
2020-06-30,2019,2020,0.04068198309445578,1.0979256371806527
2020-07-31,2019,2020,0.034808905888600306,1.1361432273579557
2020-08-31,2019,2020,0.044545601489613604,1.1867534107989666
2020-09-30,2019,2020,-0.03736447680972682,1.1424109905023045
2020-10-30,2019,2020,-0.05256895646220206,1.0823556368806477
2020-11-30,2019,2020,0.18286257955949803,1.2802779806414064
2020-12-31,2019,2020,0.04592436307827105,1.339073931465498
2021-01-29,2020,2021,-0.020188942857647992,1.312039444380975
2021-02-26,2020,2021,0.03447648678817125,1.3572739549507353
2021-03-31,2020,2021,0.0352651691767115,1.4051384505912172
2021-04-30,2020,2021,0.05414327571203938,1.4812172491351654
2021-05-31,2020,2021,0.04598283989638805,1.549327824753916
2021-06-30,2020,2021,-0.0167690662555548,1.5233470438090428
2021-07-30,2020,2021,0.016901227419375563,1.549093478635093
2021-08-31,2020,2021,0.014001582005346014,1.570783238010149
2021-09-30,2020,2021,-0.0465554915085346,1.497654652311219
2021-10-29,2020,2021,0.04670975819254397,1.5676097389766146
2021-11-30,2020,2021,-0.048293492082469414,1.4919043904589455
2021-12-31,2020,2021,0.06742462896040885,1.5924954904300448
2022-01-31,2021,2022,-0.04226369754760316,1.5251907426765874
2022-02-28,2021,2022,-0.034471219115966345,1.4726155583921392
2022-03-31,2021,2022,0.005056455568120491,1.480061773532072
2022-04-29,2021,2022,-0.058945480110505696,1.3928188216980175
2022-05-31,2021,2022,0.009565032948592445,1.4061411796189787
2022-06-30,2021,2022,-0.09899730022246434,1.2669369991050685
2022-07-29,2021,2022,0.04961656951539539,1.3297980667927916
2022-08-31,2021,2022,-0.057832588483054004,1.2528924024304033
2022-09-30,2021,2022,-0.08986073033803892,1.140306576113027
2022-10-31,2021,2022,0.07654393242339416,1.2275901256169746
2022-11-30,2021,2022,0.11007784903362276,1.3627206061398058
2022-12-30,2021,2022,-0.008859079836632153,1.3506481554949896
2023-01-31,2022,2023,0.08757184481733107,1.4689269061708112
2023-02-28,2022,2023,-0.00562869917626038,1.460658758504061
2023-03-31,2022,2023,0.026003844687842226,1.4986415020021369
2023-04-28,2022,2023,0.04139613008825224,1.560679460574671
2023-05-31,2022,2023,-0.06021136095450366,1.4667088262397294
2023-06-30,2022,2023,0.047876430476968095,1.5369296093891514
2023-07-31,2022,2023,0.026042492667094384,1.5769550874715086
2023-08-31,2022,2023,-0.037864464883690066,1.517244526938787
2023-09-29,2022,2023,-0.04042657533204015,1.4559075267733705
2023-10-31,2022,2023,-0.03700544407828567,1.4020310222082033
2023-11-30,2022,2023,0.09951960098708552,1.5415605901098794
2023-12-29,2022,2023,0.05047101988507974,1.6193647253073704
2024-01-31,2023,2024,-0.0024431392675109045,1.61540839175855
2024-02-29,2023,2024,0.018750821041276417,1.6456986254209907
2024-03-29,2023,2024,0.03389271019658302,1.7014758120032996
2024-04-30,2023,2024,-0.0238609897456903,1.6608769151005487
2024-05-31,2023,2024,0.045028114216477434,1.735663070533207
2024-06-28,2023,2024,-0.02947319734022487,1.6845075303392412
2024-07-31,2023,2024,0.025218531523843984,1.7269883365952539
2024-08-30,2023,2024,0.03746687045057365,1.7916931848721198
2024-09-30,2023,2024,0.011261858669680274,1.811870980299579
