date,Minimum-Variance,Value-Weighted
2014-01-31,0.021768265586436353,-0.03342473129531691
2014-02-28,0.062073614495434554,0.07106918428825448
2014-03-31,-0.012472518506908808,-0.007198907681201382
2014-04-30,0.03270311244682152,0.01982140441508791
2014-05-30,0.017249781004211935,0.012437547408905434
2014-06-30,0.03056594638483001,-0.0043130945503394155
2014-07-31,-0.02749896594781411,-0.039014683896656834
2014-08-29,0.0016872359916371474,0.0056825258677800795
2014-09-30,-0.037227431038365406,-0.03353621820260634
2014-10-31,0.0373513939532068,-0.02042306143093545
2014-11-28,0.020358345758099868,0.027479473012648817
2014-12-31,-0.01280595910357993,-0.04031890442839235
2015-01-30,-0.0370660463242678,-0.0017147480268574124
2015-02-27,0.045272590154140355,0.06119611118443391
2015-03-31,-0.025771795833142885,-0.021163727733258097
2015-04-30,0.04085819153084716,0.037436240055956575
2015-05-29,-0.009713927667848676,-0.00455951993797225
2015-06-30,-0.017473387923779754,-0.02666943313345012
2015-07-31,0.07512979282479976,0.03197980231843764
2015-08-31,-0.05220344583108717,-0.06779033012267344
2015-09-30,-0.05748002028710279,-0.04496031923946407
2015-10-30,0.04268198911873464,0.07254513310175473
2015-11-30,0.010418249532177869,-0.016960613164711064
2015-12-31,-0.006726203695300691,-0.026197843369053404
2016-01-29,-0.05330679385365665,-0.06544782084509655
2016-02-29,-0.032475182652657704,-0.02176033404005155
2016-03-31,0.049159953077796324,0.06455193025285502
2016-04-29,0.013383761312740546,0.025037008179949
2016-05-31,0.005854579424716456,-0.0018419021922279298
2016-06-30,-0.03164552186025137,-0.048451729117808325
2016-07-29,0.03595398383195021,0.040518099549223995
2016-08-31,-0.04693491659633079,0.005358873204871173
2016-09-30,0.020442787483001202,0.007338017416193258
2016-10-31,-0.02767582554192387,-0.03037522537586913
2016-11-30,0.002388699860039655,-0.022891954995538165
2016-12-30,0.0036181547615630836,0.050339775311452305
2017-01-31,-0.024880673325671288,0.018621136810406926
2017-02-28,0.01928438029023751,0.011476206275214822
2017-03-31,-0.02229441218973653,0.04154874861980064
2017-04-28,0.047711127571067866,0.03920043529258422
2017-05-31,0.015554820186782147,0.05080640705381746
2017-06-30,0.01010840573582883,-0.009435785184280572
2017-07-31,0.017906396083118524,0.027460548466680314
2017-08-31,-0.07987469762573983,-0.001361223405373515
2017-09-29,0.03168778956121293,0.035159561439573925
2017-10-31,-0.020906474728911974,0.007582005430298502
2017-11-30,-0.013528058433907586,0.003609537874021297
2017-12-29,0.03179238532015845,0.010957690568882506
2018-01-31,0.029472689720496676,0.05585930409302058
2018-02-28,-0.02954053031325065,-0.05816061211566949
2018-03-30,-0.005652545653467371,-0.01106405021419142
2018-04-30,0.021454179620195746,0.028355838640134128
2018-05-31,0.011050827639623024,-0.030404337398810103
2018-06-29,0.014614688004633562,-0.004000972219735838
2018-07-31,0.019459594880121313,0.03183916348459482
2018-08-31,-0.00027313895855566716,-0.026163451629996236
2018-09-28,-0.00459415842975181,0.0036578076928571682
2018-10-31,-0.018133018116888805,-0.07546515474069565
2018-11-30,0.0064901787189876325,-0.004054173488931898
2018-12-31,-0.0767572417562392,-0.05153388726463433
2019-01-31,0.05885525564494404,0.06891605751651872
2019-02-28,0.0242556021420264,0.03433749896076447
2019-03-29,0.013629697609069744,0.009364418661945324
2019-04-30,-0.009469633385637046,0.038238555991075146
2019-05-31,-0.03350518917542115,-0.05270616938156636
2019-06-28,0.03216298417776417,0.06775783630608034
2019-07-31,-0.02316371511516937,-0.01620973952568178
2019-08-30,-0.026677528665196234,-0.023392521901586437
2019-09-30,-0.005544213545071063,0.027755332967435816
2019-10-31,0.011269045663031722,0.031000068264225068
2019-11-29,0.028732643427531682,0.01667001816429973
2019-12-31,0.05576882928771194,0.04009107556991087
2020-01-31,-0.00016844415397722703,-0.02691410052263761
2020-02-28,-0.0734325650106517,-0.09450822904669037
2020-03-31,-0.1165920396871678,-0.15297286389009973
2020-04-30,0.0679396590824319,0.06242998938115143
2020-05-29,0.026539052758972982,0.04440647185214279
2020-06-30,0.002045804465975097,0.04068198309445578
2020-07-31,0.04728999368967418,0.034808905888600306
2020-08-31,0.035625144480501365,0.044545601489613604
2020-09-30,-0.05386038199724269,-0.03736447680972682
2020-10-30,-0.02716764418956677,-0.05256895646220206
2020-11-30,0.1407732607905249,0.18286257955949803
2020-12-31,0.04302221686357369,0.04592436307827105
2021-01-29,-0.007847959486485617,-0.020188942857647992
2021-02-26,-0.015347686600285477,0.03447648678817125
2021-03-31,0.019076344772036194,0.0352651691767115
2021-04-30,0.03501048970911411,0.05414327571203938
2021-05-31,0.017964696462911517,0.04598283989638805
2021-06-30,-0.013296835544035799,-0.0167690662555548
2021-07-30,0.04383562808849497,0.016901227419375563
2021-08-31,0.012417669780582188,0.014001582005346014
2021-09-30,-0.0624969646595219,-0.0465554915085346
2021-10-29,0.02416022547784119,0.04670975819254397
2021-11-30,-0.015928533782680193,-0.048293492082469414
2021-12-31,0.05031372715034521,0.06742462896040885
2022-01-31,-0.04483318046987139,-0.04226369754760316
2022-02-28,0.0035821343668739685,-0.034471219115966345
2022-03-31,0.022438157755395944,0.005056455568120491
2022-04-29,-0.033831539635919984,-0.058945480110505696
2022-05-31,-0.0016425936740889482,0.009565032948592445
2022-06-30,-0.06653074894787371,-0.09899730022246434
2022-07-29,0.03423287311832955,0.04961656951539539
2022-08-31,-0.04478329102504043,-0.057832588483054004
2022-09-30,-0.12015539460332658,-0.08986073033803892
2022-10-31,0.08009326959842633,0.07654393242339416
2022-11-30,0.0927753670659956,0.11007784903362276
2022-12-30,0.004492946340748154,-0.008859079836632153
2023-01-31,0.0005315630094073556,0.08757184481733107
2023-02-28,-0.011809194628031242,-0.00562869917626038
2023-03-31,0.006923114498140131,0.026003844687842226
2023-04-28,0.0441211049258364,0.04139613008825224
2023-05-31,-0.040670760995678935,-0.06021136095450366
2023-06-30,-0.10269988739696713,0.047876430476968095
2023-07-31,0.03403186132013079,0.026042492667094384
2023-08-31,-0.03308172952642837,-0.037864464883690066
2023-09-29,-0.0315500911403497,-0.04042657533204015
2023-10-31,-0.02065974882445685,-0.03700544407828567
2023-11-30,0.04306208690104159,0.09951960098708552
2023-12-29,0.03791566704539033,0.05047101988507974
2024-01-31,-0.007153492275635023,-0.0024431392675109045
2024-02-29,0.001090956488756035,0.018750821041276417
2024-03-29,0.027989570854443237,0.03389271019658302
2024-04-30,0.015279072068718116,-0.0238609897456903
2024-05-31,0.04271922731361838,0.045028114216477434
2024-06-28,-0.02261907802387384,-0.02947319734022487
2024-07-31,0.04976233889404321,0.025218531523843984
2024-08-30,0.0259395386895416,0.03746687045057365
2024-09-30,-0.00995222665446575,0.011261858669680274
2024-10-31,-0.018050127769073037,-0.05831656947986305
2024-11-29,-0.023793188003528212,-0.010705710877978137
2024-12-31,-0.021692143653747775,-0.016172571472225193
2025-01-31,0.03877513327406548,0.0688240066826275
2025-02-28,0.008923090734446972,0.030614716576266382
2025-03-31,0.017584314112582607,0.00017764383674481483
2025-04-30,0.09323533712132714,0.0413132235226085
2025-05-30,-0.0030814124012353405,0.045547954630415374
2025-06-30,0.008274811847978163,0.019535150670380173
2025-07-31,-0.02504844949057471,-0.010904134626257785
2025-08-29,0.02215972060596834,0.030930859954909497
2025-09-30,0.00316568631322547,0.02166344976397592
2025-10-31,-0.011979011502009185,0.010189765090072515
2025-11-28,0.012520510062029578,0.016483308622597122
2025-12-31,0.05289427984566325,0.03723588654876173
