date,Minimum-Variance,Value-Weighted
2014-01-31,1.0264091781286975,0.9665752687046831
2014-02-28,1.0928399902177977,1.0352689846047254
2014-03-31,1.0823921285804177,1.027816178759345
2014-04-30,1.1169022261424626,1.0481889389029042
2014-05-30,1.1359864148743009,1.0612258385239992
2014-06-30,1.1672039577190663,1.056648671143182
2014-07-31,1.13801598610897,1.0154238572487082
2014-08-29,1.1395538282693958,1.0211940295842852
2014-09-30,1.0948136733282106,0.9869470437809478
2014-10-31,1.137942510801892,0.9667905636767293
2014-11-28,1.161026479455804,0.9933574588801676
2014-12-31,1.1502899275337417,0.9533063744323474
2015-01-30,1.1063576135136393,0.951671694207799
2015-02-27,1.1543613721256292,1.009910301017618
2015-03-31,1.1296387562164676,0.9885368343718683
2015-04-30,1.1751534976812263,1.025543936607569
2015-05-29,1.1728774367615276,1.0208679485813401
2015-06-30,1.1615353439356535,0.9936419790885677
2015-07-31,1.2488445151579155,1.0254184531551211
2015-08-31,1.1902881431336896,0.9559049977018543
2015-09-30,1.1254688549523837,0.9129272038425797
2015-10-30,1.1717353594676627,0.9791556293575525
2015-11-30,1.1836407307734083,0.9625485494999698
2015-12-31,1.1848356833327938,0.9373318533650601
2016-01-29,1.1230404763460813,0.8759855261536212
2016-02-29,1.0869788169261032,0.8569237884902682
2016-03-31,1.1435628585558986,0.9122398731169042
2016-04-29,1.1641401589446077,0.9350796302822078
2016-05-31,1.170181951968025,0.9333573050612833
2016-06-30,1.1366398975590648,0.8881345297463265
2016-07-29,1.1783182338072176,0.9241200530356913
2016-08-31,1.1219356353389638,0.9290722952259886
2016-09-30,1.1481097168642547,0.9358898439092594
2016-10-31,1.1199314546955679,0.9074619789735288
2016-11-30,1.1255937837146464,0.8866884001907047
2016-12-30,1.127712926546704,0.9313240950275758
2017-01-31,1.103413604264447,0.9486664084159129
2017-02-28,1.1285021674014573,0.959553499805261
2017-03-31,1.1042533030072712,0.9994217469559198
2017-04-28,1.1543096225769536,1.038599514477467
2017-05-31,1.1749160210313219,1.0913670241759061
2017-06-30,1.188481974885422,1.0810691193785749
2017-07-31,1.2082210247422043,1.1107558703271017
2017-08-31,1.1069487565516263,1.1092438834387564
2017-09-29,1.1368822227345932,1.1482444119099928
2017-10-31,1.1162277376637586,1.1569504072764043
2017-11-30,1.1014486561606065,1.1611264635898328
2017-12-29,1.1351065603521548,1.1738497280891909
2018-01-31,1.1799569184834136,1.2394201570100345
2018-02-28,1.1515027499260337,1.1673347220098318
2018-03-30,1.1494403982204004,1.1544192720287458
2018-04-30,1.1717126924484316,1.187153798629454
2018-05-31,1.1849572434368667,1.1510591739916451
2018-06-29,1.2067125522957267,1.1464538182132324
2018-07-31,1.2320786549535496,1.1829559487588617
2018-08-31,1.2305595352060457,1.1520057380130928
2018-09-28,1.2231436098374533,1.1562195534638127
2018-10-31,1.1973517454194813,1.068965265947448
2018-11-30,1.2100985806500684,1.0646314953056548
2018-12-31,1.1168893079782745,1.009766895848194
2019-01-31,1.1869594164209627,1.0793560493207446
